rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
2354,2018-09-27,AMAZON,L5,Software Engineer,132.0,"Seattle, WA",4,1,Full Stack,106.0,5.0,21.0,NotDisclosed,11527
2468,2018-09-28,AMAZON,L5,Software Engineer,184.0,"Seattle, WA",7,1,Full Stack,134.0,36.0,14.0,NotDisclosed,11527
2528,2018-09-29,AMAZON,L5,Software Engineer,297.0,"Seattle, WA",3,4,Distributed Systems (Back-End),196.0,98.0,3.0,NotDisclosed,11527
2537,2018-09-29,AMAZON,L5,Software Engineer,109.0,"Seattle, WA",1,4,Distributed Systems (Back-End),103.0,6.0,0.0,NotDisclosed,11527
2619,2018-10-02,AMAZON,L5,Software Engineer,241.0,"Seattle, WA",11,0,Distributed Systems (Back-End),168.0,58.0,15.0,NotDisclosed,11527
2647,2018-10-03,AMAZON,2,Software Engineer,251.0,"Seattle, WA",3,1,Full Stack,183.0,56.0,12.0,NotDisclosed,11527
2690,2018-10-04,AMAZON,SDE II,Software Engineer,155.0,"Seattle, WA",6,6,API Development (Back-End),126.0,29.0,0.0,NotDisclosed,11527
2807,2018-10-09,AMAZON,L5,Software Engineer,202.0,"Seattle, WA",9,1,Distributed Systems (Back-End),132.0,59.0,11.0,NotDisclosed,11527
2825,2018-10-10,AMAZON,L4,Software Engineer,233.0,"Seattle, WA",1,0,Distributed Systems (Back-End),201.0,3.0,29.0,NotDisclosed,11527
2839,2018-10-10,AMAZON,L5,Software Engineer,190.0,"Seattle, WA",4,2,API Development (Back-End),99.0,91.0,0.0,NotDisclosed,11527
2901,2018-10-13,AMAZON,L5,Software Engineer,144.0,"Seattle, WA",3,1,Distributed Systems (Back-End),94.0,31.0,19.0,NotDisclosed,11527
2973,2018-10-16,AMAZON,L6,Software Engineer,133.0,"Seattle, WA",9,5,Distributed Systems (Back-End),73.0,60.0,0.0,NotDisclosed,11527
2974,2018-10-16,AMAZON,L5,Software Engineer,147.0,"Seattle, WA",4,1,Full Stack,106.0,41.0,0.0,NotDisclosed,11527
3033,2018-10-19,AMAZON,L5,Software Engineer,230.0,"Seattle, WA",2,1,Distributed Systems (Back-End),181.0,24.0,25.0,NotDisclosed,11527
3059,2018-10-21,AMAZON,L5,Software Engineer,191.0,"Seattle, WA",32,1,API Development (Back-End),106.0,45.0,40.0,NotDisclosed,11527
3085,2018-10-23,AMAZON,L5,Software Engineer,244.0,"Seattle, WA",9,1,Full Stack,191.0,25.0,28.0,NotDisclosed,11527
3148,2018-10-26,AMAZON,L4,Software Engineer,153.0,"Seattle, WA",0,0,Distributed Systems (Back-End),125.0,21.0,7.0,NotDisclosed,11527
3153,2018-10-26,AMAZON,SDE I,Software Engineer,147.0,"Seattle, WA",0,0,API Development (Back-End),98.0,9.0,40.0,NotDisclosed,11527
3160,2018-10-27,AMAZON,L4,Software Engineer,112.0,"Seattle, WA",1,1,Web Development (Front-End),101.0,3.0,8.0,NotDisclosed,11527
3243,2018-10-31,AMAZON,L4,Software Engineer,207.0,"Seattle, WA",1,1,API Development (Back-End),166.0,26.0,15.0,NotDisclosed,11527
3249,2018-10-31,AMAZON,L5,Software Engineer,122.0,"Seattle, WA",10,0,Distributed Systems (Back-End),81.0,21.0,20.0,NotDisclosed,11527
3305,2018-10-31,AMAZON,L4,Software Engineer,130.0,"Seattle, WA",3,0,API Development (Back-End),94.0,15.0,21.0,NotDisclosed,11527
3540,2018-11-01,AMAZON,SDE II,Software Engineer,224.0,"Seattle, WA",11,6,API Development (Back-End),151.0,73.0,0.0,NotDisclosed,11527
3580,2018-11-01,AMAZON,SDE II,Software Engineer,178.0,"Seattle, WA",3,6,Full Stack,89.0,89.0,0.0,NotDisclosed,11527
3629,2018-11-02,AMAZON,SDE I,Software Engineer,142.0,"Seattle, WA",0,0,,90.0,43.0,9.0,NotDisclosed,11527
3658,2018-11-04,AMAZON,L5,Software Engineer,204.0,"Seattle, WA",29,1,Full Stack,80.0,89.0,35.0,Male,11527
3691,2018-11-05,AMAZON,SDE II,Software Engineer,254.0,"Seattle, WA",4,0,Distributed Systems (Back-End),190.0,41.0,23.0,Male,11527
3742,2018-11-07,AMAZON,L4,Software Engineer,144.0,"Seattle, WA",0,0,Full Stack,108.0,24.0,12.0,Male,11527
3743,2018-11-07,AMAZON,L4,Software Engineer,144.0,"Seattle, WA",0,0,Full Stack,127.0,9.0,8.0,Male,11527
3757,2018-11-08,AMAZON,SDE II,Software Engineer,270.0,"Seattle, WA",4,0,API Development (Back-End),187.0,43.0,40.0,Male,11527
3901,2018-11-13,AMAZON,SDE I,Software Engineer,101.0,"Seattle, WA",0,0,Distributed Systems (Back-End),87.0,4.0,10.0,Male,11527
3974,2018-11-17,AMAZON,l5,Software Engineer,173.0,"Seattle, WA",15,2,API Development (Back-End),137.0,19.0,17.0,Male,11527
4095,2018-11-26,AMAZON,L5,Software Engineer,150.0,"Seattle, WA",3,3,Full Stack,124.0,26.0,0.0,Female,11527
4170,2018-11-30,AMAZON,L5,Software Engineer,251.0,"Seattle, WA",3,2,API Development (Back-End),167.0,84.0,0.0,Female,11527
4218,2018-12-03,AMAZON,L4,Software Engineer,131.0,"Seattle, WA",3,0,Full Stack,75.0,29.0,27.0,Male,11527
4276,2018-12-06,AMAZON,L5,Software Engineer,218.0,"Seattle, WA",1,3,Web Development (Front-End),176.0,25.0,17.0,Male,11527
4422,2018-12-13,AMAZON,L5,Software Engineer,260.0,"Seattle, WA",7,1,Distributed Systems (Back-End),198.0,54.0,8.0,Male,11527
4438,2018-12-14,AMAZON,L5,Software Engineer,179.0,"Seattle, WA",8,0,Full Stack,101.0,51.0,27.0,NotDisclosed,11527
4445,2018-12-15,AMAZON,L6,Software Engineer,221.0,"Seattle, WA",15,9,Distributed Systems (Back-End),128.0,93.0,0.0,Male,11527
4483,2018-12-18,AMAZON,SDE I,Software Engineer,130.0,"Seattle, WA",3,0,Full Stack,86.0,4.0,40.0,Male,11527
4503,2018-12-18,AMAZON,L4,Software Engineer,247.0,"Seattle, WA",1,0,Distributed Systems (Back-End),198.0,11.0,38.0,Male,11527
4514,2018-12-19,AMAZON,L4,Software Engineer,168.0,"Seattle, WA",0,0,,120.0,17.0,31.0,Male,11527
4516,2018-12-19,AMAZON,L5,Software Engineer,219.0,"Seattle, WA",2,0,API Development (Back-End),128.0,91.0,0.0,Male,11527
