Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Symbols,XM,NOW,RPD,ZLNDY,ZEN,AMZN,CSCO,MSFT,GOOG,META,AAPL,WDAY,GWRE,INTC,ORCL,TOST,ANET,MDB,HUBS,PICC,TWLO,EXPE,SSTK,VMW,TENB,XM,NOW,RPD,ZLNDY,ZEN,AMZN,CSCO,MSFT,GOOG,META,AAPL,WDAY,GWRE,INTC,ORCL,TOST,ANET,MDB,HUBS,PICC,TWLO,EXPE,SSTK,VMW,TENB,XM,NOW,RPD,ZLNDY,ZEN,AMZN,CSCO,MSFT,GOOG,META,AAPL,WDAY,GWRE,INTC,ORCL,TOST,ANET,MDB,HUBS,PICC,TWLO,EXPE,SSTK,VMW,TENB,XM,NOW,RPD,ZLNDY,ZEN,AMZN,CSCO,MSFT,GOOG,META,AAPL,WDAY,GWRE,INTC,ORCL,TOST,ANET,MDB,HUBS,PICC,TWLO,EXPE,SSTK,VMW,TENB,XM,NOW,RPD,ZLNDY,ZEN,AMZN,CSCO,MSFT,GOOG,META,AAPL,WDAY,GWRE,INTC,ORCL,TOST,ANET,MDB,HUBS,PICC,TWLO,EXPE,SSTK,VMW,TENB,XM,NOW,RPD,ZLNDY,ZEN,AMZN,CSCO,MSFT,GOOG,META,AAPL,WDAY,GWRE,INTC,ORCL,TOST,ANET,MDB,HUBS,PICC,TWLO,EXPE,SSTK,VMW,TENB
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,11.479999542236328,409.9100036621094,31.3799991607666,17.25,76.69999694824219,100.79000091552734,44.790000915527344,246.41555786132812,96.7300033569336,113.0199966430664,149.6999969482422,156.9499969482422,60.93000030517578,30.43000030517578,77.73999786376953,20.479999542236328,128.5500030517578,175.94000244140625,306.0899963378906,9.9399995803833,55.27000045776367,102.79000091552734,53.90999984741211,115.97000122070312,39.75,11.479999542236328,409.9100036621094,31.3799991607666,17.25,76.69999694824219,100.79000091552734,44.790000915527344,247.11000061035156,96.7300033569336,113.0199966430664,149.6999969482422,156.9499969482422,60.93000030517578,30.43000030517578,77.73999786376953,20.479999542236328,128.5500030517578,175.94000244140625,306.0899963378906,9.9399995803833,55.27000045776367,102.79000091552734,53.90999984741211,115.97000122070312,39.75,11.6899995803833,424.4599914550781,32.189998626708984,17.309999465942383,76.79000091552734,101.19000244140625,45.31999969482422,247.99000549316406,97.36000061035156,114.9000015258789,150.00999450683594,159.2899932861328,61.58000183105469,30.6299991607666,77.88999938964844,21.795000076293945,129.77000427246094,180.75999450683594,321.43499755859375,9.944999694824219,55.689998626708984,104.47000122070312,54.81999969482422,116.12999725341797,40.0,11.010000228881836,404.7200012207031,29.170000076293945,16.19029998779297,76.5999984741211,96.66000366210938,43.91999816894531,241.92999267578125,94.16000366210938,108.80999755859375,144.3699951171875,150.86000061035156,58.150001525878906,28.8700008392334,76.56999969482422,19.709999084472656,125.66999816894531,161.58999633789062,300.989990234375,9.9399995803833,49.720001220703125,99.18000030517578,52.150001525878906,114.05000305175781,37.529998779296875,11.239999771118164,406.989990234375,29.989999771118164,16.19029998779297,76.62999725341797,97.87999725341797,45.18000030517578,242.99000549316406,94.70999908447266,109.2300033569336,145.82000732421875,153.1199951171875,58.88999938964844,28.93000030517578,77.12999725341797,21.5,127.4800033569336,163.4499969482422,303.82000732421875,9.944999694824219,50.77000045776367,99.52999877929688,52.61000061035156,114.5999984741211,37.970001220703125,2941200,2143900,2380500,86049,977500,111481700,25960800,34600900,30536500,59836400,93903800,2680200,1366200,49811800,7712600,21973100,2874800,2790200,1201500,100600,6949700,3097500,255900,798900,1459200
